Combination_ID,Upper_Body,Lower_Body,Footwear,Style_Match,Season_Match,Rating
C001,U0101ctW,L2001uV,F3201cW,Casual-Universal-Casual,Winter-Vernal-Winter,8
C002,U0101ctW,L2002cfU,F3202cfW,Casual+Trendy-Casual+Formal-Casual+Formal,Winter-Universal-Winter,9
C003,U0102cS,L2003cU,F3001cU,Casual-Casual-Casual,Summer-Universal-Universal,10
C004,U0102cS,L2004fU,F3002cU,Casual-Formal-Casual,Summer-Universal-Universal,7
C005,U0103fU,L2102fU,F3101fU,Formal-Formal-Formal,Universal-Universal-Universal,10
C006,U0103fU,L2103fU,F3102fU,Formal-Formal-Formal,Universal-Universal-Universal,9
C007,U0104fuU,L2106fuU,F3103fuU,Formal+Universal-Formal+Universal-Formal+Universal,Universal-Universal-Universal,10
C008,U0104fuU,L2109fuW,F3104fU,Formal+Universal-Formal+Universal-Formal,Universal-Winter-Universal,8
C009,U0105tS,L2005tS,F3003tU,Trendy-Trendy-Trendy,Summer-Summer-Universal,9
C010,U0105tS,L2006tuV,F3004tuU,Trendy-Trendy+Universal-Trendy+Universal,Summer-Vernal-Universal,8
C011,U0106fA,L2110cfA,F3209cfA,Formal-Casual+Formal-Casual+Formal,Autumn-Autumn-Autumn,10
C012,U0106fA,L2103fU,F3106fU,Formal-Formal-Formal,Autumn-Universal-Universal,9
C013,U0107cuW,L2007cU,F3207cuAW,Casual+Universal-Casual-Casual+Universal,Winter-Universal-Autumn+Winter,8
C014,U0107cuW,L2010cuU,F3008cuU,Casual+Universal-Casual+Universal-Casual+Universal,Winter-Universal-Universal,9
C015,U0108uU,L2001uV,F3006uU,Universal-Universal-Universal,Universal-Vernal-Universal,8
C016,U0108uU,L2108cuA,F3210uAW,Universal-Casual+Universal-Universal,Universal-Autumn-Autumn+Winter,9
C017,U0109ctS,L2005tS,F3009tS,Casual+Trendy-Trendy-Trendy,Summer-Summer-Summer,10
C018,U0109ctS,L2007cU,F3005cS,Casual+Trendy-Casual-Casual,Summer-Universal-Summer,9
C019,U0110fuA,L2103fU,F3110fuU,Formal+Universal-Formal-Formal+Universal,Autumn-Universal-Universal,9
C020,U0110fuA,L2106fuU,F3105fuU,Formal+Universal-Formal+Universal-Formal+Universal,Autumn-Universal-Universal,8
C021,U0201cS,L2003cU,F3001cU,Casual-Casual-Casual,Summer-Universal-Universal,9
C022,U0201cS,L2004fU,F3002cU,Casual-Formal-Casual,Summer-Universal-Universal,6
C023,U0202cS,L2003cU,F3002cU,Casual-Casual-Casual,Summer-Universal-Universal,10
C024,U0202cS,L2104cS,F3005cS,Casual-Casual-Casual,Summer-Summer-Summer,10
C025,U0203ftS,L2103fU,F3103fuU,Formal+Trendy-Formal-Formal+Universal,Summer-Universal-Universal,8
C026,U0203ftS,L2106fuU,F3104fU,Formal+Trendy-Formal+Universal-Formal,Summer-Universal-Universal,9
C027,U0204tS,L2005tS,F3003tU,Trendy-Trendy-Trendy,Summer-Summer-Universal,10
C028,U0204tS,L2107tS,F3009tS,Trendy-Trendy-Trendy,Summer-Summer-Summer,10
C029,U0205cS,L2003cU,F3001cU,Casual-Casual-Casual,Summer-Universal-Universal,9
C030,U0205cS,L2104cS,F3005cS,Casual-Casual-Casual,Summer-Summer-Summer,10
C031,U0206uU,L2001uV,F3006uU,Universal-Universal-Universal,Universal-Vernal-Universal,9
C032,U0206uU,L2006tuV,F3004tuU,Universal-Trendy+Universal-Trendy+Universal,Universal-Vernal-Universal,8
C033,U0207cS,L2003cU,F3001cU,Casual-Casual-Casual,Summer-Universal-Universal,8
C034,U0207cS,L2104cS,F3005cS,Casual-Casual-Casual,Summer-Summer-Summer,9
C035,U0208tS,L2005tS,F3003tU,Trendy-Trendy-Trendy,Summer-Summer-Universal,9
C036,U0208tS,L2107tS,F3009tS,Trendy-Trendy-Trendy,Summer-Summer-Summer,10
C037,U0209cuS,L2007cU,F3008cuU,Casual+Universal-Casual-Casual+Universal,Summer-Universal-Universal,9
C038,U0209cuS,L2010cuU,F3010cuU,Casual+Universal-Casual+Universal-Casual+Universal,Summer-Universal-Universal,8
C039,U0210fuS,L2106fuU,F3103fuU,Formal+Universal-Formal+Universal-Formal+Universal,Summer-Universal-Universal,8
C040,U0210fuS,L2109fuW,F3105fuU,Formal+Universal-Formal+Universal-Formal+Universal,Summer-Winter-Universal,6
C041,U0301cW,L2007cU,F3201cW,Casual-Casual-Casual,Winter-Universal-Winter,10
C042,U0301cW,L2101cU,F3201cW,Casual-Casual-Casual,Winter-Universal-Winter,9
C043,U0302fW,L2102fU,F3206fW,Formal-Formal-Formal,Winter-Universal-Winter,10
C044,U0302fW,L2103fU,F3104fU,Formal-Formal-Formal,Winter-Universal-Universal,9
C045,U0303tW,L2105tV,F3203tA,Trendy-Trendy-Trendy,Winter-Vernal-Autumn,7
C046,U0303tW,L2006tuV,F3004tuU,Trendy-Trendy+Universal-Trendy+Universal,Winter-Vernal-Universal,8
C047,U0304cA,L2007cU,F3209cfA,Casual-Casual-Casual+Formal,Autumn-Universal-Autumn,9
C048,U0304cA,L2101cU,F3204cAW,Casual-Casual-Casual,Autumn-Universal-Autumn+Winter,10
C049,U0305fA,L2102fU,F3101fU,Formal-Formal-Formal,Autumn-Universal-Universal,9
C050,U0305fA,L2103fU,F3102fU,Formal-Formal-Formal,Autumn-Universal-Universal,8
C051,U0306tuW,L2006tuV,F3004tuU,Trendy+Universal-Trendy+Universal-Trendy+Universal,Winter-Vernal-Universal,7
C052,U0306tuW,L2105tV,F3205tuA,Trendy+Universal-Trendy-Trendy+Universal,Winter-Vernal-Autumn,8
C053,U0307uU,L2001uV,F3006uU,Universal-Universal-Universal,Universal-Vernal-Universal,9
C054,U0307uU,L2108cuA,F3210uAW,Universal-Casual+Universal-Universal,Universal-Autumn-Autumn+Winter,8
C055,U0308cfW,L2002cfU,F3202cfW,Casual+Formal-Casual+Formal-Casual+Formal,Winter-Universal-Winter,10
C056,U0308cfW,L2110cfA,F3209cfA,Casual+Formal-Casual+Formal-Casual+Formal,Winter-Autumn-Autumn,9
C057,U0309tA,L2005tS,F3003tU,Trendy-Trendy-Trendy,Autumn-Summer-Universal,7
C058,U0309tA,L2105tV,F3203tA,Trendy-Trendy-Trendy,Autumn-Vernal-Autumn,8
C059,U0310cuW,L2007cU,F3207cuAW,Casual+Universal-Casual-Casual+Universal,Winter-Universal-Autumn+Winter,9
C060,U0310cuW,L2010cuU,F3008cuU,Casual+Universal-Casual+Universal-Casual+Universal,Winter-Universal-Universal,10
C061,U0101ctW,L2003cU,F3005cS,Casual+Trendy-Casual-Casual,Winter-Universal-Summer,6
C062,U0103fU,L2007cU,F3104fU,Formal-Casual-Formal,Universal-Universal-Universal,5
C063,U0105tS,L2102fU,F3003tU,Trendy-Formal-Trendy,Summer-Universal-Universal,6
C064,U0107cuW,L2001uV,F3002cU,Casual+Universal-Universal-Casual,Winter-Vernal-Universal,7
C065,U0109ctS,L2106fuU,F3009tS,Casual+Trendy-Formal+Universal-Trendy,Summer-Universal-Summer,5
C066,U0201cS,L2109fuW,F3001cU,Casual-Formal+Universal-Casual,Summer-Winter-Universal,4
C067,U0203ftS,L2005tS,F3106fU,Formal+Trendy-Trendy-Formal,Summer-Summer-Universal,5
C068,U0205cS,L2102fU,F3005cS,Casual-Formal-Casual,Summer-Universal-Summer,6
C069,U0207cS,L2006tuV,F3001cU,Casual-Trendy+Universal-Casual,Summer-Vernal-Universal,7
C070,U0209cuS,L2001uV,F3010cuU,Casual+Universal-Universal-Casual+Universal,Summer-Vernal-Universal,8
C071,U0301cW,L2005tS,F3201cW,Casual-Trendy-Casual,Winter-Summer-Winter,5
C072,U0303tW,L2102fU,F3203tA,Trendy-Formal-Trendy,Winter-Universal-Autumn,4
C073,U0305fA,L2007cU,F3101fU,Formal-Casual-Formal,Autumn-Universal-Universal,5
C074,U0307uU,L2005tS,F3006uU,Universal-Trendy-Universal,Universal-Summer-Universal,6
C075,U0309tA,L2001uV,F3203tA,Trendy-Universal-Trendy,Autumn-Vernal-Autumn,7
C076,U0102cS,L2106fuU,F3001cU,Casual-Formal+Universal-Casual,Summer-Universal-Universal,5
C077,U0104fuU,L2007cU,F3103fuU,Formal+Universal-Casual-Formal+Universal,Universal-Universal-Universal,6
C078,U0106fA,L2001uV,F3106fU,Formal-Universal-Formal,Autumn-Vernal-Universal,6
C079,U0108uU,L2005tS,F3006uU,Universal-Trendy-Universal,Universal-Summer-Universal,7
C080,U0110fuA,L2002cfU,F3105fuU,Formal+Universal-Casual+Formal-Formal+Universal,Autumn-Universal-Universal,8
C081,U0202cS,L2108cuA,F3002cU,Casual-Casual+Universal-Casual,Summer-Autumn-Universal,7
C082,U0204tS,L2001uV,F3003tU,Trendy-Universal-Trendy,Summer-Vernal-Universal,7
C083,U0206uU,L2102fU,F3006uU,Universal-Formal-Universal,Universal-Universal-Universal,8
C084,U0208tS,L2003cU,F3009tS,Trendy-Casual-Trendy,Summer-Universal-Summer,7
C085,U0210fuS,L2001uV,F3103fuU,Formal+Universal-Universal-Formal+Universal,Summer-Vernal-Universal,6
C086,U0302fW,L2005tS,F3206fW,Formal-Trendy-Formal,Winter-Summer-Winter,5
C087,U0304cA,L2106fuU,F3204cAW,Casual-Formal+Universal-Casual,Autumn-Universal-Autumn+Winter,6
C088,U0306tuW,L2003cU,F3004tuU,Trendy+Universal-Casual-Trendy+Universal,Winter-Universal-Universal,7
C089,U0308cfW,L2001uV,F3202cfW,Casual+Formal-Universal-Casual+Formal,Winter-Vernal-Winter,7
C090,U0310cuW,L2102fU,F3207cuAW,Casual+Universal-Formal-Casual+Universal,Winter-Universal-Autumn+Winter,6
C091,U0101ctW,L2005tS,F3003tU,Casual+Trendy-Trendy-Trendy,Winter-Summer-Universal,8
C092,U0106fA,L2106fuU,F3101fU,Formal-Formal+Universal-Formal,Autumn-Universal-Universal,9
C093,U0201cS,L2007cU,F3005cS,Casual-Casual-Casual,Summer-Universal-Summer,9
C094,U0206uU,L2108cuA,F3006uU,Universal-Casual+Universal-Universal,Universal-Autumn-Universal,8
C095,U0301cW,L2002cfU,F3207cuAW,Casual-Casual+Formal-Casual+Universal,Winter-Universal-Autumn+Winter,8
C096,U0306tuW,L2107tS,F3004tuU,Trendy+Universal-Trendy-Trendy+Universal,Winter-Summer-Universal,7
C097,U0103fU,L2110cfA,F3,,,
